company_names,about,jobs,location,salaries,reviews,interviews,ratings
ArcelorMittal Nippon Steel,Iron & Steel,6,Surat,11.9k,3.4k,275,4.1
Blinkit,Internet,1,Gurugram,13.1k,3.4k,344,3.8
Vishal Mega Mart,Retail,6,New Delhi,6.2k,3.4k,212,3.8
[24]7.ai,Software Product,93,Bengaluru,11.6k,3.4k,187,3.4
Hindustan Coca Cola Beverages,Beverage,62,Bengaluru,7.8k,3.4k,179,4.0
UBS,Financial Services,--,Pune,32.1k,3.4k,374,3.8
DTDC Express,Logistics,34,New Delhi,8.8k,3.4k,195,3.7
IndusInd Nippon Life Insurance,Mumbai +488 other locations,1,Mumbai,4.1k,3.4k,171,3.4
Bajaj General Insurance Limited,Insurance,233,Pune,10.8k,3.4k,141,3.7
ABB,Industrial Machinery,3k,Bengaluru,18k,3.4k,293,4.0
Ford Motor,Automobile,3,Chennai,15.3k,3.4k,176,4.2
Barclays,Banking,--,Pune,32.4k,3.3k,316,3.7
Ceat Tyres,Auto Components,13,Nagpur,13.1k,3.3k,212,3.9
HARMAN,Consumer Electronics & Appliances,100,Bengaluru,24.1k,3.3k,292,3.8
RSPL Group,FMCG,17,Kanpur,9.6k,3.3k,258,4.0
AGS Health,Analytics & KPO,61,Chennai,14.6k,3.3k,212,4.0
TVS Credit Services Ltd,NBFC,30,Chennai,7.2k,3.3k,157,4.2
NatWest Group,Banking,52,Gurugram,21.1k,3.3k,234,4.0
Croma,Retail,14,Mumbai,9.2k,3.3k,185,3.8
InterGlobe Aviation,Aviation,60,New Delhi,13.4k,3.2k,372,3.5
Alstom Transportation,Engineering & Construction,234,Bengaluru,15.1k,3.2k,279,3.7
Niva Bupa Health Insurance Company,Insurance,8,New Delhi,8.3k,3.2k,378,4.0
Conduent,BPO,343,Bengaluru,16.9k,3.2k,234,3.4
Indian Air Force,Defence & Aerospace,--,New Delhi,5.4k,3.2k,83,4.6
GeBBS Healthcare Solutions,BPO,85,Mumbai,11.2k,3.2k,184,3.7
Tata Technologies,Engineering & Construction,136,Pune,22.9k,3.2k,308,3.4
Tata AIG,Insurance,66,Mumbai,11.5k,3.2k,193,4.0
Allcargo Logistics,Logistics,25,Mumbai,7.1k,3.2k,138,3.8
UPL,Agro Chemicals,49,Ankleshwar,11.2k,3.2k,218,4.1
Max Healthcare,Healthcare,108,New Delhi,10.5k,3.1k,187,3.9
Marpu Foundation,Non-Profit,--,Hyderabad,60,3.1k,265,4.9
PepsiCo,Food Processing,223,Hyderabad,13.8k,3.1k,238,4.1
Amazon Transportation Services,Logistics,--,Hyderabad,8.4k,3.1k,256,4.2
Titan Company,Retail,106,Bengaluru,9.6k,3.1k,202,4.2
Dilip Buildcon,Engineering & Construction,22,Bhopal,8.2k,3.1k,188,3.9
Walmart,Retail,202,Bengaluru,22.8k,3.1k,440,3.5
Mankind Pharma,Pharma,8,New Delhi,9.5k,3.1k,255,3.8
Jindal Stainless,Iron & Steel,81,Jajpur,11.5k,3.1k,316,4.2
Varroc Group,Auto Components,48,Pune,9.5k,3.1k,221,3.6
S&P Global,Analytics & KPO,598,Hyderabad,20.5k,3.1k,330,4.0
MSN Laboratories,Pharma,33,Hyderabad,9.5k,3.1k,172,3.6
Societe Generale Global Solution Centre,IT Services & Consulting,128,Bengaluru,23k,3k,296,3.6
Sagility,BPO,108,Bengaluru,12k,3k,247,3.9
Quest Global,IT Services & Consulting,162,Bengaluru,21.4k,3k,361,3.5
